HotelName,PM,PM2,GM,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,gm_add,CC,CC2
Atlanta DoubleTree,dummy1@example.com,dummy2@example.com,dummy3@example.com,dummy10@example.com,,,,,,,,,Hello Thaddeus / Leanna,dummy43@example.com,
D'iberville Courtyard,dummy1@example.com,dummy2@example.com,dummy4@example.com,dummy10@example.com,,,,,,,,,Hello Joanne / Leanna,dummy43@example.com,dummy44@example.com
DoubleTree Harrisonburg,dummy1@example.com,dummy2@example.com,dummy5@example.com,dummy10@example.com,,,,,,,,,Hello Margarita / Leanna,dummy43@example.com,
DoubleTree Westminster,dummy1@example.com,dummy2@example.com,dummy6@example.com,dummy16@example.com,dummy23@example.com,dummy27@example.com,dummy32@example.com,dummy35@example.com,dummy10@example.com,dummy39@example.com,dummy41@example.com,dummy42@example.com,Hello All,dummy43@example.com,
EH Battery Hotel,dummy1@example.com,dummy2@example.com,dummy7@example.com,dummy10@example.com,,,,,,,,,Hello Jeff / Leanna,dummy43@example.com,
Embassy Suites Indianapolis North,dummy1@example.com,dummy2@example.com,dummy8@example.com,dummy10@example.com,,,,,,,,,Hello Paul / Leanna,dummy43@example.com,
Embassy Suites Overland park,dummy1@example.com,dummy2@example.com,dummy9@example.com,dummy17@example.com,dummy10@example.com,dummy28@example.com,dummy33@example.com,dummy36@example.com,,,,,Hello All,dummy43@example.com,
Hampton Inn Boston Braintree,dummy1@example.com,dummy2@example.com,dummy10@example.com,dummy18@example.com,dummy24@example.com,dummy29@example.com,dummy34@example.com,,,,,,Hello Leanna / Selina / Daniel,dummy43@example.com,
KBS SQR II Q&C,dummy1@example.com,dummy2@example.com,dummy11@example.com,dummy19@example.com,dummy25@example.com,dummy30@example.com,dummy10@example.com,,,,,,Hello All,dummy43@example.com,
McAllen Residence Inn,dummy1@example.com,dummy2@example.com,dummy12@example.com,dummy10@example.com,,,,,,,,,Hello Christopher/ Leanna,dummy43@example.com,
Pensacola-Home-2 Suites,dummy1@example.com,dummy2@example.com,dummy13@example.com,dummy20@example.com,dummy10@example.com,,,,,,,,Hello Sarah / Leanna,dummy43@example.com,
Savannah Fairfield,dummy1@example.com,dummy2@example.com,dummy10@example.com,dummy21@example.com,,,,,,,,,Hello All,dummy43@example.com,
Spanish Fort Courtyard,dummy1@example.com,dummy2@example.com,dummy14@example.com,dummy10@example.com,,,,,,,,,Hello Melissa / Leanna,dummy43@example.com,dummy44@example.com
Spanish Fort Fairfield,dummy1@example.com,dummy2@example.com,dummy14@example.com,dummy10@example.com,,,,,,,,,Hello Melissa / Leanna,dummy43@example.com,dummy44@example.com
Sheraton Four Points DFW,dummy1@example.com,dummy2@example.com,dummy15@example.com,dummy22@example.com,dummy26@example.com,dummy31@example.com,dummy10@example.com,dummy37@example.com,dummy38@example.com,dummy40@example.com,,,Hello All,dummy43@example.com,dummy1@example.com
